positive	Not Available		
positive	"Musical awareness: Great Big Beautiful Tomorrow has an ending, Now is the time does not"		
neutral	On Radio786 100.4fm 7:10 Fri Oct 19 Labour analyst Shawn Hattingh: Cosatu's role in the context of unrest in the mining http://t.co/46pjzzl6		
negative	"Kapan sih lo ngebuktiin,jan ngomong doang Susah Susah.usaha Aja blm udh nyerah,inget.if you never try you'll never know.cowok kok gentle bgt"		
neutral	"Tomorrow come and hear @DavidWillettsMP&amp;@MASieghart debate ""Navigating the new Higher Education market"" 5.30pm, Jurys Inn #CPC12"		
neutral	"Excuse the connectivity of this live stream, from Baba Amr, so many activists using only one Sat Modem. LIVE http://t.co/U283IhZ5 #Homs"		
positive	Show your LOVE for your local field &amp; it might win an award!  Gallagher Park #Bedlington current 4th in National Award http://t.co/WeiMDtQt		
neutral	Not Available		
positive	@firecore Can you tell me when an update for the Apple TV 3rd gen becomes available? The missing update holds me back from buying #appletv3		
positive	"@Heavensbasement The Crown, Filthy McNastys, Katy Dalys or the Duke if York in Belfast! Can't wait to catch you guys tomorrow night!"		
neutral	"Uncover the Eternal City! Return flights to Rome travel on the 21st January, for 3 nights Augustea, 3 star Hotel... http://t.co/tw0Jeh9g"		
positive	My #cre blog Oklahoma Per Square Foot returns to the @JournalRecord blog hub tomorrow. I will have some interesting local data to share.		
negative	Not Available		
neutral	Not Available		
negative	Not Available		
positive	W.O.W Wednesday!Marni lands this Lumberjack vest for the ladies looking to bring a little Tom boy toughness  http://t.co/7NyCbdJR		
negative	Activists in Deir Ezzor captured this image of Musab Bin Umair Mosque after regime forces set it on fire Wednesday. http://t.co/MRcoprCE		
positive	@karaotr You will appreciate this.. Sunday brunch coffee: Normal cup in b/g and then the BOWL of java. Yowza. http://t.co/XhbtaCvm		
negative	Not Available		
positive	"Join me Wed for a live webcast on cost optimization for IT, for the SMB crowd. http://t.co/tyJn4RES  &lt;&lt; send your questions in! #DellWebcast"		
positive	Not Available		
positive	Not Available		
positive	@fatimasule That was the revelation I mentioned on sunday evening. I am still in Abj. How are u &amp; where have u been again?		
neutral	Kim Hyung Jun - Football Team the 2nd A Match at YeongDeungPo-gu DaeRimDong [12.10.27] Credit : tlxhah #6 http://t.co/u7mPTl0X		
positive	The audio booth is ready to blow the roof off the Comcast Center tomorrow! Are you? #MDMadness http://t.co/B19fECgY		
positive	Just seen @JonasBrothers at Radio City and now get to see then again on the 28th!! SO EXCITED!!!		
neutral	I may or may not be jumping around the lounge to some random boy band on MTV Hits		
positive	whos trying to go to Buenos Aires with me February 23rd? Armin van Buuren &amp; Carl Cox! ...how does it get better?!		
positive	"@Trirob249 just bought tickets to see george groves and ricky burns fight in december, can't wait!!!"		
negative	Not Available		
positive	Not Available		
positive	Not Available		
neutral	Not Available		
negative	"For International Women's day, let's not forget trans*women and those who don't follow the gender binary!"		
positive	"@sam_snideman @Pacers looks like we'll be getting an extended look at Gerald Green, Saturday. Running w/ the starters in practice w/ DG out."		
negative	Not Available		
neutral	"also, just want to remind all our band folks the deadline is approaching submit to SXSW 2013- get it in by Nov 7th! http://t.co/5gDPSqon"		
neutral	"Texas ranked No. 4 in latest AVCA poll, Minnesota is No. 14 so make your plans to watch this Thursday and Friday at Gregory Gym live"		
neutral	"Sicily may form grand coalition, Italian UDC Party leader: (AGI) Rome - On Monday Rocco Buttiglione, the leader ... http://t.co/CaOM8yxr"		
negative	"@DrPravinTogadia I condemned both the measures but relating it to religion is cheap. If done in Jan then Holi, if done now, then Diwali"		
positive	Not Available		
neutral	Not Available		
positive	Not Available		
negative	Not Available		
neutral	Check out Party on the Plaza outside of Gregory Gym TOMORROW from 10am-5pm and meet representatives from  over 200... http://t.co/r4xiREUi		
negative	@RyanBruce14 haha well you can't get me lost. I gotta be back in Oklahoma before Monday morning.		
negative	I got that drank I mix that lean ..I throw the money up and then I walk on green ...Kirko Bangz got a hit and I was shitting on him at 1st		
neutral	Preview: Los Angeles Galaxy vs. Vancouver Whitecaps: Thursday night marks the first... http://t.co/ACgrf2V0 #Soccer #local_TO #education		
neutral	"College Football Picks: Saturday Parlay: The Pac-12, the Big Ten, and the Southeastern Conference all have intri... http://t.co/WsHsQXvD"		
neutral	JUST IN: Apple announced the iPhone 5 Wednesday at the Yerba Buena Center in San Francisco. Rumors leading up to... http://t.co/RjnOxYbC		
negative	Not Available		
negative	fuck i have the SATs tomorrow		
neutral	NHL lockout: Sidney Crosby in town as talks set to begin Thursday afternoon: Players are gathering at the NHLPA... http://t.co/fwPJpAlT		
negative	@KeiJhoHyun28 oo nga eh :( may picture sana ako with PREPIX!!!!		
positive	"A rumor popped out about an @Eminem concert in Kyiv this February. I wonder how true that is. I'm so going if it's true, though."		
neutral	Thursday Night Football on CBS College Sports live from Walton Stadium - put your black on and get the red out!		
positive	Not Available		
positive	"Let's see whatcha got and you could win an iPad HD! Submit your Deep Creek Lake Area photos before this Wednesday,... http://t.co/UmfN9l34"		
negative	NJEA Teacher's Convention_ Nov 8th &amp; 9th in Atlantic City has been cancelled for the 1st time in its 158-year history.		
positive	Not Available		
neutral	"If you're around on Saturday, go see @rosstheboss93 and @kstew067 at Stubb's Battle of the Bands. Proceeds go to Invisible Children."		
neutral	"Blueberry muffins last night, brownies tonight, Oreo balls Wednesday...I'm done."		
positive	Definitely wish I could catch this tomorrow night. Dare Night: LockDown @SummerWorks at the Gladstone Hotel. http://t.co/MOk3K28h		
positive	Dad just said if Obama wins on Tuesday he is moving to Cuba #dontknowwhatyourtalkingbout #butok		
neutral	"When I am king, Kendrick Lamar &amp; Anna Kendrick will wed and he will be forced to take her name, thereby making him Kendrick Kendrick."		
positive	Funding received from CoE to organise national seminar on state of youth work in UK 15 &amp; 16 Nov at DMU. Inbox if u can add value to it		
positive	Not Available		
positive	Just because the sun isn't out doesn't mean you can't get your tan on ! Come by Hollywood Tans and check out the specials !!!!		
positive	"@dabido it is the Apple TV's form factor... 1st Gen, but still Apple TV! :D  How about iOS with camera tracking on a 60"" TV?"		
