defined_meaning_id	GROUP_CONCAT(uw_expression.spelling SEPARATOR ',')
1	GEMET Environmental Thesaurus Relation Types
3	is part of theme,part of theme
4	hypernym
5	hyponym
6	related term
7	abandoned industrial site
8	abandoned vehicle,car wreck
9	abiotic factor
10	absorption
13	access road,frontage road
15	access to the sea
16	accident
20	accumulator
22	acidification
23	acidity
24	acidity degree
25	acid rain
26	acid
27	acoustic filter,audio filter
28	acoustic insulation
29	acoustic level,sound pressure level
30	acoustic property
31	acoustics
32	actinides
33	actinium
34	action committee,action group
35	activated carbon
36	activated sludge
39	deed,act,doing
40	adaptable species
42	chemical addition
43	additional packaging
44	addition polymer
45	additive
46	glue,adhesive
47	acceptable daily intake
48	administration,management,direction
49	administrative body,administrative organ
51	administrative fiat
52	administrative jurisdiction
53	administrative law
56	adsorption
57	adult
58	adult education
59	promotion,advertising,advertisement
60	product advertising
61	advice
62	aeration
63	aerial photograph
65	aerobic process
66	aerobiology
67	aerodynamic noise
68	aerosol
70	afforestation,tree planting,afforestment
71	Africa
72	afterburning
73	age
74	agreement
75	agreement
76	agrobiotechnology,agricultural biotechnology
77	agricultural building
78	agroecology,agricultural ecology
79	agricultural economics
81	agrotechnology,agricultural engineering
87	farm machinery,agricultural equipment,agricultural machinery
88	agricultural management
90	agricultural pest
92	agricultural policy
94	farm production,agricultural output,agricultural production
101	agrochemical
102	agroforestry
103	agroindustry
104	agrometeorology
105	acquired immune deficiency syndrome,acquired immunodeficiency syndrome,AIDS
106	air
107	air conditioning,AC,air-conditioning
108	aircraft
110	aircraft noise
111	air movement,planetary wind
112	air pollutant
113	air pollution
114	airport
115	air quality
116	air quality control
118	air safety
120	air temperature
121	air traffic
122	air traffic law
123	air traffic regulation
124	air transportation
126	alert,warning,alarm
127	alcohol
128	alga
129	algal bloom
130	algicide,algaecide
131	alicyclic compound
132	alicyclic hydrocarbon
133	aliphatic compound
134	aliphatic hydrocarbon
135	alkali land,salt steppe
136	alkali soil
137	alkane,methane series,alkane series,paraffin
138	alkyl compound
139	allergen
140	allergy
141	allocation,allotment,resource allotment
143	alloy
144	overflowing,inundation,alluvion,flood
145	alpha radiation
147	alternative technology
148	aluminium oxide,aluminium trioxide,alumina
153	air sac,alveolus
154	amalgam
155	America,Americas
156	Ames test
157	amine
158	amino acid
159	ammonia
160	ammonification
161	ammonium
162	amphibian
163	amusement park
168	analytical chemistry
170	analytical method
171	anatids
172	anatomy
173	Magnoliophyta,flowering plant,angiosperm
174	fishing,line-fishing,angling
176	animal disease
178	animal ecology
179	animal experiment
181	animal genetics
182	animal housing
183	animal husbandry
184	animal manure
185	animal noise
186	animal nutrition
187	animal physiology
190	animal protection
192	animal for slaughter
193	animal shelter
194	animal
196	animal trade
198	anion
200	antagonism
202	Antarctica
203	Antarctic ecosystem
204	Great Southern Ocean,Southern Ocean,South Polar Ocean,Antarctic Ocean
205	Antarctic region
206	anthropic activity
208	anthropologic reserve
209	antibiotic
210	antibody
211	anticipation of danger
215	apartment block
216	apiculture,beekeeping
217	appeal
218	appeal procedure
219	applied ecology
221	applied science
224	aquaculture
225	aquatic animal
226	aquatic ecology
228	aquatic mammal,marine mammal
230	aquatic organism
231	aquatic plant,hydrophyte
233	aqueduct
234	aquifer
235	arable farming
236	arboriculture
237	archaeological site
238	archaeology,archeology,archæology
239	archipelago
240	architecture
242	Arctic Ocean
243	Arctic region
244	distribution area
248	armament
250	military,armed forces
251	aromatic compound
252	aromatic hydrocarbon
253	aromatic substance
255	arsenic
256	art
257	arthropod
258	Articulata
259	artificial lake
261	asbestos
262	asbestos cement
263	ASEAN,Association of Southeast Asian Nations
264	ash
265	Asia
266	assimilation
268	astronautics
269	astronomy
270	atlas
271	atmosphere
272	atmospheric chemistry
273	atmospheric circulation
277	atmospheric humidity
279	atmospheric model
281	atmospheric ozone
283	atmospheric physics
285	precipitation,atmospheric precipitation
287	atmospheric science
289	attribution
290	audiovisual media
293	autoecology
295	automobile industry
296	avalanche
297	avalanche protection,avalanche defense,avalanche control
298	aviation law
299	avifauna
300	background level
301	background radiation
302	bacteria
303	bacterial bed
304	bactericide
305	bacteriology
306	balance
308	banking
310	barium
311	baseline monitoring
312	base
313	basic food requirement
314	basicity
315	basidiomycete
317	bathing water
318	battery
320	bay
321	beach
322	beaching
323	bee conservation
324	beef cattle
325	bee
326	beetle
327	comportment,conduct
330	beneficial organism
331	benthic division
332	benthic ecosystem,benthic zone
333	benthos
334	benzene
335	benzopyrene
336	beryllium,glucinium
337	beta radiation
338	beverage industry
339	drink,potable,drinkable,beverage
340	bibliography
341	bike,cycle,bicycle
342	bilateral convention
343	bilge oil
344	bilge-water,bilge water
345	bioaccumulation
347	bio-availability
351	biochemistry
352	biocide
353	bioclimatology
354	biocoenosis
355	bioconcentration factor
356	biodegradability
358	biodegradation
359	biodiversity
360	bioethics
361	biogas
362	biogeochemical cycle,substance turnover,cycling of substances
363	biogeochemistry
364	biogeographical region
365	biogeography
371	biological engineering,biotechnological engineering,bioengineering
372	biological indicator,bioindicator
373	biological monitoring
374	biological nitrogen fixation
375	biological pest control
383	biological weapon
384	biology,biological science
385	bioluminescence
386	biomass
388	biophysics
389	bioreactor
390	biorhythm
391	biosafety
392	biosphere
393	biosphere reserve
394	biosynthesis
395	biotechnology
396	biotic factor
397	biotope
398	biotope network
399	biotope protection
400	bird
401	bird sanctuary
402	bird of prey
403	bird species
404	birth control
405	bitumen
406	black coal
407	blast furnace
408	bleaching agent,bleach
409	bleaching clay
410	bleaching process
411	blood
412	blue-green alga,cyanobacteria
413	boating
415	boiler
416	boiling point
417	book
418	bookkeeping
419	border
420	boron
421	botanical garden
422	plant science,plant sciences,phytology,plant biology,botany
424	boundary layer
425	bovid
426	brackish water
427	bradyseism
428	breast milk
429	breeding
430	breeding bird
431	brewing industry
432	brick
433	bridge
434	bromine
435	brooding
436	brook
438	bryophyte
439	bubble policy
440	budget
441	hemipterous insect,bug
442	building
443	building area
444	building component
446	building land
447	building material
449	building planning
451	building site
