spelling	defined_meaning_id
site abandonné	7
véhicule abandonné	8
facteur abiotique	9
agrément	534385
accident	16
pluie acide	25
acoustique	31
acoustique	752133
acoustique	752317
addition chimique	42
adhésif	46
administration	48
administration	467820
administration	679579
compétence administrative	499108
adulte	57
publicité	59
aération	62
Afrique	71
âge	73
âge	353809
accord	75
accord	544943
accord	843551
accord	1012080
écologie agricole	78
agriculture	856004
SIDA	105
air	106
air	353835
air	417054
air	440636
appareil volant	108
pollution de l'air	113
alarme	126
alarme	6923
alcool	127
algue	128
composé alicyclic	131
hydrocarbures cycloaliphatiques	132
aluminium	149
alvéole	153
amine	157
ammonisation	160
analyse	797257
anatomie	172
pêche à la ligne	174
logement pour animaux	182
fumier	2247
protection des animaux	190
abri pour animaux	193
animal	194
commerce des animaux	196
anion	198
Antarctique	202
océan antarctique	204
antibiotique	209
apiculture	216
procédure d'appel	218
micro-organisme aquatique	229
aqueduc	690483
aquifère	234
site archéologique	237
archipel	239
archipel	523485
architecture	240
architecture	445935
architecture	671954
zone	468389
zone	1407748
armement	248
armement	7284
substance aromatique	253
arsenic	255
art	256
art	8514
art	8515
art	423159
amiante	261
cendre	264
Asie	265
assimilation	266
association	869213
atlas	1399933
atmosphère	271
atmosphère	687580
atmosphère	865477
circulation atmosphérique	273
humidité de l'air	928775
pollution atmosphérique	113
attribution	289
attribution	376056
audiovisuel	951598
autorisation	341429
lit bactérien	303
bactériologie	305
bilan	306
activité bancaire	308
baryum	310
station de référence de surveillance	311
batterie	318
baie	320
baie	384870
abeille	325
abeille	7256
coléoptère	326
industrie des boissons	338
boisson	339
boisson	351365
bicyclette	341
eau de fond de cale	344
bioaccumulation	345
bioclimatologie	353
diversité biologique	359
bioéthique	360
biogaz	361
génie biologique	371
biologie	384
bioluminescence	385
biosphère	392
oiseau	400
rapace	402
régulation des naissances	404
bitume	405
processus de blanchiment	410
sang	411
chaudière	415
livre	417
livre	699423
livre	738698
livre	741245
livre	1018533
comptabilité	418
comptabilité	4198
bordure	419
bordure	160931
bore	420
botanique	671028
couche limite	424
eau saumâtre	426
bradyséisme	427
lait maternel	428
amélioration génétique	429
pont	433
pont	351096
pont	1393199
ruisseau	436
ruisseau	157634
punaise	441
punaise	399759
punaise	880112
bâtiment	442
bâtiment	445935
agglomération	400414
autobus	461
entreprise	462
entreprise	1453
entreprise	454855
entreprise	474762
papillon	463
câble	467
câble	690138
cadmium	468
calcium	471
camping	480146
canal	7698
cancer	479
cancer	8417
automobile	482
hydrate de carbone	483
carbone	484
cycle du carbone	486
dioxyde de carbone	487
taxe sur le dioxyde de carbone	488
monoxyde de carbone	912582
cardiologie	494
cartographie	2250
pneu d'automobile	501
catalyseur	437418
catastrophe	5314
catastrophe	8032
bassin versant	507
bassin versant	7181
cation	510
ciment	518
Amérique Centrale	522
Asie Centrale	523
administration centrale	524
centralisation	429222
céphalopode	527
céramique	528
industrie de la céramique	529
cétacé	530
réaction chimique	555
chimie	567
enfant	568
enfant	7413
enfant	545139
cheminée	3603
cheminée	1393233
cheminée	1395201
chlore	575
chlorofluorocarbure	577
chrome	585
église	587
ville	589
ville	5974
centre ville	590
navigation aérienne civile	592
classification	598
argile	599
habillement	621
nuage	623
coagulation	624
charbon	625
gazéification du charbon	628
côte	633
côte	348225
côte	1201459
revêtement	1397709
coelentérés	650
coke	653
coke	357040
froid	654
froid	5639
froid	683130
colonisation	513428
colonisation	692530
colorimétrie	660
couleur	661
moteur à combustion	666
commercialisation	445537
comparaison	688
concurrence	693
compression	702
compression	748944
compression	748947
compression	748950
béton	708
condensation	710
consultation	729
consommation	339
contamination	741
contamination	493518
contamination	757236
autorité de contrôle	749
convention	752
convention	6799
coopération	758
cuivre	761
fusion du coeur	766
liège	767
coût	778
coton	781
couverture	6669
couverture	342581
couverture	348520
artisanat	5356
passage	795
passage	773790
pétrole brut	797
croisière	1021330
crustacé	799
cryptogame	800
cristallisation	801
culture	811
douane	814
douane	7170
cyclone	818
cytologie	819
cytotoxicité	820
laiterie	919364
laiterie	919386
produit laitier	919399
dommage	825
descendant	155705
descendant	1420976
dette	843
dette	1163282
décantation	5214
décision	4571
décision	637861
décision	637888
décomposition	974808
décomposition	974818
décontamination	852
décret	853
décret	441144
décret	1291237
cerf	858
défense	859
défense	725782
défense	1392255
déforestation	861
dégradation	735406
démographie	874
démographie	1091345
dermaptère	1023
désert	888
désert	523549
désert	1415996
investigation	897
investigation	518831
détergent	899
détergent	6641
pays en développement	905
coopération au développement	908
dictionnaire	915
didactique	1056246
moteur diesel	917
gazole	918
différenciation	919
digestion	723629
acide dilué	927
dioxine	928
directive	930
directive	693336
directive	696919
maladie	941
maladie	6863
étiologie	937127
dissolution	1027498
distribution	445537
fossé	6782
document	962
chien	966
chien	8133
chien	1243400
dose	977
libellule	980
bête de trait	983
forage	988
sécheresse	994
lutte contre la sécheresse	995
médicament	5919
nettoyage à sec	998
séchage	1001
dessèchement	1002
décharge	2074
décharge	1398178
dune	1007
dune	3307
poussière	1009
teinture	1014
digue	1015
séisme	1019
sciences de la terre	1020
lombric	1022
perce-oreille	1160190
Afrique de l'Est	1024
Asie orientale	1025
commerce Est-Ouest	1028
Conseil des ministres de la CE	1029
CE écolabel	1035
écologie	1050
analyse économique	1054
développement économique	1055
croissance économique	1056
