05 Beat it - Michael Jackson - Thriller (25th Anniversary Edition) [HD] http://t.co/A4K2B86PBv,"neutral
"
Jay Z joins Instagram with nostalgic tribute to Michael Jackson: Jay Z apparently joined Instagram on Saturday and.. http://t.co/Qj9I4eCvXy,"positive
"
Michael Jackson: Bad 25th Anniversary Edition (Picture Vinyl): This unique picture disc vinyl includes the original 1 http://t.co/fKXhToAAuW,"neutral
"
18th anniv of Princess Diana's death. I still want to believe she is living on a private island away from the public. With Michael Jackson.,"positive
"
"@oridaganjazz The 1st time I heard Michael Jackson sing was in Honolulu, Hawaii @ a restaurant on radio. It was A.B.C. I was 13. I loved it!","positive
"
Are you old enough to remember Michael Jackson attending the Grammys with Brooke Shields and Webster sat on his lap during the show?,"positive
"
The Weeknd is the closest thing we may get to Michael Jackson for a long time...especially since he damn near mimics everything,"neutral
"
"All of you people who're saying The Weekend is the next Michael Jackson, Go to sleep, you got school tomorrow.","neutral
"
@MariahCarey may he R.I.P. Happy Birthday Michael Jackson . :),"positive
"
I just may be actually done with this award show.. Unless they get Michael Jackson on hologram.,"neutral
"
@NICKIMINAJ today you try to destroy a Sir Mix-a-Lot hit - tomorrow Michael Jackson? WRITE YOUR OWN DAMN HOOKS!,"negative
"
VIRGO OF THE DAY- We wished our fellow Virgo Captain Michael Jackson a Happy Birthday on the 29th now it's time... http://t.co/fF7I7D7ItV,"positive
"
@juliaanapp you may say oh it is August 29 Liam from One Direction's birthday but no it's also Michael Jackson birthday,"neutral
"
"Michael Jackson was the man, I remember watching the Thriller &amp; Smooth Criminal music video for the 1st time &amp; it was lit","positive
"
ALDUB RADIO MaAlden Monday NP: I Just Can't Stop Loving You by Michael Jackson! This with Spanish and French versions! #ALDUBTheREVELATION,"positive
"
#NP Michael Jackson - Human Nature on #BrunchInTheCiti w/ @OsKwame #tunein 5th of 7 tracks from the Thriller album http://t.co/pDIlytllfb,"neutral
"
Happy 28th anniversary to the album that generated 5 #1's just like katy's teenage dream a.k.a. Bad (Michael Jackson),"positive
"
"Today is the 28th Anniversary of Michael Jackson releasing the ""Bad"" album, what's your favorite song from it?","positive
"
The Weeknd may be Michael Jackson reincarnated... I'm just saying there are a lot of similarities musically #butthatsnoneofmybusiness,"positive
"
"@OU_Football Eric, I heard your love for Michael Jackson. I got to see him in concert from the 4th row - his sweat hit me when he spun.","positive
"
@Pearsey you got that from his website. My brothers mate at school once said his 2nd cousin was Michael Jackson. A similar tale to this...,"neutral
"
@Pearsey I actually believed that his 2nd cousin was Michael Jackson. Gutted when I found out he wasn't - I was 26 by then...,"neutral
"
Very sad news Dr. Wayne Dyer passes away - Ever the Vanguard for Michael Jackson - May God grant him Peace. https://t.co/bKrxnEou0l,"neutral
"
#OnThisDay1987 CBS records shipped out the largest pre-order in the company's history for Michael Jackson's album Bad http://t.co/v4fkyOx2eW,"positive
"
I just texted my friend that I'd be busy all day tomorrow preparing to roast Michael Jackson tomorrow night. Life is awesome.,"positive
"
"mom: ""I say 23 because your birthday is on the 23rd"" me: no you say it because mj mom: michael jackson? me: did he play ball too? mom: oh.","neutral
"
"Jay Z 'pays tribute to Michael Jackson as he joins Instagram' with touching photo, it may be his last http://t.co/dQHJT59Ciy","positive
"
"@autoengmike @Minutemaniac @ImStillARebel @coltgovt45 @typewrittenlove You're a better dancer than Michael Jackson. C""mon, spill the beans","positive
"
I was sat with my auntie who has seen Michael Jackson live &amp; I had to watch a shitty Bruno Mars tribute try to sing Billie Jean,"negative
"
"@Glen_Hansard 1st record, &amp; best memory of buying an album with my own $, was Michael Jackson's Thriller. In that moment, I was a rockstar.","positive
"
"#TodayInMusicHistory Michael Jackson earned his 12th and last solo #1 during his lifetime with the song ""You Are... http://t.co/Nlw0yhsCSk","positive
"
Last Saturday would have been his 58th birthday. Mussic from Michael Jackson coming up in just a few minutes.....,"positive
"
